"번호","운영기관명","상품명","운영기관구분","상품구분","학자금유형구분","학교구분","학년구분","성적기준 상세내용","소득기준 상세내용","지원내역 상세내용","특정자격 상세내용","지역거주여부 상세내용","선발방법 상세내용","선발인원 상세내용","자격제한 상세내용","추천필요여부 상세내용","제출서류 상세내용","홈페이지주소","모집시작일","모집종료일"
"532","재단법인 우인장학재단","우인장학생","민간(기타)","장학금","소득구분","과학고/국제고/마이스터고/영재고/예술고/외국어고/일반고/체육고","1학년/2학년/3학년/제한없음","성적 우수자 ","기초생활수급자 차상위계층 등 경제적으로 어려운 저소득 가정의 학생","3000000원 학기당 1500000원 ","타인에 대한 배려와 사랑으로 봉사정신이 투철하여 귀감이 될 만한 학생예체능 등 본인의 특별한 재능을 살려 미래에 대한 도전을 지속하는 학생성적우수자 ","해당없음","1차 서류전형2차 면접전형-최종합격자 발표표","70명 ","타 장학금 수령시 장학생 선발 제외 ※ 자세한 사항은 첨부파일 또는 홈페이지 참고","학교장장","자기소개서장학생 추천서저소득층 증빙 서류봉사활동 확인서성적 증명서 ※ 자세한 사항은 첨부파일 또는 홈페이지 참고","http://www.wooin.org/","2024-01-02","2024-02-13"
"533","부산중구장학회","꿈드림장학생","지자체","장학금","소득구분","과학고/국제고/마이스터고/영재고/예술고/외국어고/일반고/체육고","1학년/2학년/3학년/제한없음","해당없음"," * 가정 형편 등의 사유로 수학이 곤란한 자로서소년·소녀가정 기초수급자 장애인가정차상위가구 한부모 가정 조손가정 무주택자 등 ","1000000원","해당없음","신청일 현재 학부모 또는 학생이 중구에 3년 이상 주소가 돼 있으며 사실상 계속 거주하고 있는 자 ","해당없음","6명","2022년도 (재)중구장학회 장학생으로 선발된 이력이 있는 자 ","학교장 추천 ","장학생 신청서개인정보수집이용 제공 및 조회 동의서장학생 추천서서약서성적증명서주민등록등본보호자의 건강보험료 납부확인서보호자지방세 세목별 과세증명서기초생활수급자증명서 차상위계층 확인서 한부모가족 증명서  * 자세한 사항은 첨부파일 참고 ","http://www.bsjunggu.go.kr/","2023-12-12","2024-01-11"
"534","대소면장학회","성적장학생","지자체","장학금","지역연고","과학고/국제고/마이스터고/영재고/외국어고/일반고","1학년/2학년/3학년/제한없음","신입생 : 중학교 내신 석차 연명부 점수 280점 이상인 자재학생 : 직전학년 과목별 석차등급 평균 3등급 이내 ","해당없음","1000000원","대소면 1년 이상 거주자로 성적우수자","공고일 기준 1년 이상 대소면에 주소를 두고 거주하고 있는 면민의 자녀 ","해당없음","총 5명","징계 처분을 받은 자타 장학회 장학금 수여자 및 해당 학교 장학금 수여자 중복신청 불가 * 자세한 사항은 첨부파일 참조","해당없음","장학생 신청서개인(신용)정보 수집·이용·제공 및 조회 동의서내신 석차 연명부 사본 또는 생활기록부주민등록등본장애인증명서/한부모가족증명서/기초생활수급자증명서(해당자)통장사본","https://www.eumseong.go.kr/","2023-03-01","2023-03-10"
"535","대소면장학회","특기장학생","지자체","장학금","특기자","예술고/일반고/체육고","1학년/2학년/3학년/제한없음","해당없음","해당없음","1000000원","공공기관 및 민간단체가 주최·주관한 전국 규모 이상 대회에서 입상자 및 국가대표로 선발된 고등학생단체로 수상한 경우 학교장 추천을 받은 1인만 선정 * 수상실적 : 2022. 1. 1. ~ 2022. 12. 31.","공고일 기준 1년 이상 대소면에 주소를 두고 거주하고 있는 면민의 자녀 또는 면민","해당없음","1명","소속 학교에서 퇴학 휴학 및 징계 처분을 받은 자타 장학회 장학금 수여자 및 해당 학교 장학금 수여자 중복신청 불가 * 자세한 사항은 첨부파일 참조","해당없음","장학생 신청서개인(신용)정보 수집·이용·제공 및 조회 동의서내신 석차 연명부 사본 또는 생활기록부주민등록등본장애인증명서/한부모가족증명서/기초생활수급자증명서(해당자)통장사본상장 사본 또는 단체수상인 경우 학교장 추천서 * 자세한 사항은 첨부파일 참조","https://www.eumseong.go.kr/","2023-03-01","2023-03-10"
"536","재단법인 경주시장학회","일반 장학생","지자체","장학금","지역연고","일반고","1학년/2학년/3학년/제한없음","학업성적이 우수한 학생학교별 학급(인원수)에 의하여 재적학년의 100분의 50이내에 해당하는 학생","경제적 사정이 어려운 학생","1000000원","경주시 관내 고등학생","공고일 현재 1년 이상 경주시 관내 거주자(부모 또는 학생)","성적 50% + 생활정도 35% (재산세 본세 ) + 경주시 거주기간 15%","80명 * 학교별 배정인원 있으므로 각 학교 문의","1세대 1인 신청공고일 현재 휴학 중인 자 정학 퇴학 등 징계처분 받은 자신청학기 자퇴 또는 전학 예정자","학교장 추천","장학금 지원신청서개인(신용)정보 수집·이용·제공 및 조회 동의서담임교사 추천서생활기록부 사본주민등록등본장학금 지급 신청서서약서학부모(또는 본인) 통장 사본해당자 증빙서류 (해당자) * 자세한 사항은 첨부파일 참조","http://janghak.gyeongju.go.kr/","2023-09-13","2023-09-27"
"537","재단법인 경주시장학회","특기장학생","지자체","장학금","특기자","예술고/일반고/체육고","1학년/2학년/3학년/제한없음","중앙 및 지방 행정기관 또는 공신력 있는 기관이 주최한 각종 대회에서 수상(입상)한 자","해당없음","1000000원","도 단위 이상 규모 대회에서 3위 이내 입상자 (2022.08.24 ~ 공고일 현재 기준 수상실적에 한함)과학 문화 예술 기능 분야에 뛰어난 재능을 발휘하거나 지역의 명예를 드높인 자체육분야","공고일 현재 1년 이상 경주시 관내 거주자(부모 또는 학생)","상위 대외에서 수상(입상)한 자 (공공기관>해당단체>기타)동점일 경우 입상횟수 생활정도(재산세) 순","4명","공고일 현재 휴학 중 또는 예정이거나  정학 퇴학 등 징계처분 받은 자신청학기 자퇴 혹은 전학 예정자","학교장 추천체육분야의 경우 경주시 체육회장이 추천한 자","장학금 지원신청서개인(신용)정보 수집·이용·제공 및 조회 동의서재학증명서가족관계증명서주민등록초본재산세(관내/관외포함) (미)과세 증명서각종 대회 입상·표창 관련자료(수상실적증명 및 상장) * 자세한 사항은 첨부파일 참조","http://janghak.gyeongju.go.kr/","2023-09-13","2023-09-27"
"538","한우자조금관리위원회","한우사랑장학생","민간(기타)","장학금","기타","과학고/국제고/마이스터고/영재고/예술고/외국어고/일반고/체육고","해당없음","축산관련 전공 한 과목 이상 성취도 A인 자","해당없음","1000000원","축산업 등록기준 한우 사육농가(부모 외·조부모 본인) 중 농·축산업계 고등학교 축산관련 학과 재학생 * 교내 1인","해당없음","1차 : 기본 구비서류 평가2차 : 최종 장학생 선발","8명","해당없음","학교장 추천","한우사랑 장학금 장학생 추천서한우사랑 장학금 지원 신청서미래진로계획서'22.1학기 성적표 원본농장 사육개체 현황주민등록등본 또는 가족관계증명서개인정보 수집·이용·제공 동의서축산 관련 자격증 사본(해당자)축산관련 및 봉사활동 확인서 * 자세한 사항은 첨부파일 참고","http://www.hanwooborad.or.kr/","2022-09-01","2022-10-07"
"539","아이들과 미래재단","폴얀센장학기금 장학생","민간(기업)","장학금","장애인","과학고/국제고/마이스터고/영재고/예술고/외국어고/일반고/자율고/제한없음/체육고","해당없음","해당없음","해당없음","학습 및 정서지원 장학금(매월 10만원*12개월)새학년 준비비 10만원(연 1회)","법적보호자(부모 조부모 등) 또는 형제(자매 남매)가 정신장애를 가진 가정의 자녀법적보호자 또는 형제가 정신장애 등급 판정을 받은 경우법적보호자 또는 형제와 동거하는 경우","해당없음","해당없음","총 50명","정신지체 발달장애 알코올 중독은 지원 불가","해당없음","신청 공문신청서 및 개인정보동의서신청기관 고유번호증(또는 시설신고증)주민등록등본 또는 가족관계증명서장애인 복지카드 사본 또는 장애등록 증빙서류기타 해당자 제출 서류 * 자세한 사항은 홈페이지 참조","kidsfuture.or.kr","2022-12-05","2022-12-16"
"540","정이있는 장학재단","장학생","민간(기타)","장학금","기타","과학고/국제고/마이스터고/영재고/예술고/외국어고/일반고/자율고/제한없음/체육고","1학년/2학년/3학년/제한없음","해당없음","해당없음","500000원","(우수장학금) 학업성적이 우수한 학생(자립장학금) 저소득층 가정 또는 장애가 있는 학생(효선행장학금) 효선행을 실천하여 지자체 각종기관단체로부터 칭송을 받는 학생(다문화장학금) 생활형편이 어려운 다문화 가정 학생(특별지정장학금(성조장학금)) 기부자 지정","해당없음","해당없음","40명 이내  ( * 중·고등학생 포함 인원 / 고등학생 위주로 선발)"," * 자세한 사항은 기관으로 문의 요망","해당없음"," * 신규 학생장학신청서성적증명서학교장 또는 관련정부기관 추천서주민등록등본통장사본기초생활수급자 차상위계층 다문화가정 등 증빙서류(필요시) * 기존학생장학금 후기성적증명서 * 양식 다운로드 및 자세한 사항 확인은 기관 홈페이지 참조","https://www.warmheart.co.kr/","2023-07-17","2023-08-21"
"541","수경출판사","자이스토리장학금","민간(기타)","장학금","성적우수","과학고/국제고/마이스터고/영재고/예술고/외국어고/일반고/체육고","해당없음","해당없음","해당없음","대상 500만원금상 200만원장려상 100만원격려상 50만원노력상 10만원","2023/ 2024 자이스토리 교재를 활용해 얻은 학업성쥐에 대해 진솔한 학습법을 작성한 학생2023/ 2024 자이스토리 교재로 학습을 한 고1·2·3학년 N수생","해당없음","해당없음","자세한 사항 홈페이지 참조","해당없음","해당없음","모의고사 성적표수능 성적표대학 입학 증명 서류본인 사진  * 자세한 사항 홈페이지 참조","www.book-sk.co.kr","2022-12-15","2024-02-05"
"542","대한체육회","체육장학생","민간(기타)","장학금","특기자","체육고","해당없음","해당없음","저소득층 우대","1000000원","2022년 11월 ~ 2023년 10월 개최된 전국규모 대회 3위 이내 입상자 (대한체육회 경기단체 주관)","해당없음","해당없음","541명(초/중/고 포함)","학교폭력 가해 등 사회적 물의를 일으킨 자20212022년 체육장학금 수혜자공단 저소득층 제육인제 장학 지원사업 수혜자","회원종목단체 및 회원시/도체육회가 추천","학교장추천서선수등록확인서경기실적증명서학생선수 명의 통장사본개인정보 수집/이용 및 제3자 정보제공동의서기초생활수급자 증빙서류(해당자)차상위 증빙서류(해당자)※ 자세한 사항은 기관 홈페이지 참조","https://welfare.sports.or.kr","2023-11-03","2023-11-20"
